1," invasion, the conquest of East Asia by Japan that cuts the Chinese conquests in Russia and Europe down to the limits of the former Austro-Hungarian empire, and the Japanese ","[('Q27231', ['geographic region'], ['eastern region of Asia']), ('Q5327728', ['album'], ['album by Miyuki Nakajima']), ('Q15761181', ['scientific journal'], ['journal']), ('Q58558114', ['scholarly article'], ['article']), ('Q86075977', ['scholarly article'], ['scientific article published on 01 March 2014']), ('Q125592707', ['scholarly article'], ['scientific article published in 2009']), ('Q125857107', ['scholarly article'], ['scientific article published in 2010'])]",east asia,Q27231,Q86075977,1.0308539867401123,5.733779191970825
2," is chief of cuisine to the princes in Hell. Nisroch in fiction. In the Dungeons & Dragons roleplaying game, Nisroch is the name of an outcast devil. A rebel angel, Nisroch, ","[('Q481410', ['film'], ['2011 film by Tim Fehlbaum']), ('Q624974', ['film'], ['2010 film by Luis Estrada']), ('Q1213581', ['film'], ['1994 film by Claude Chabrol']), ('Q1516314', ['impact crater'], ['lunar crater']), ('Q1525785', ['album'], ['2008 studio album by Venom']), ('Q1602602', ['musical group'], ['British heavy metal band']), ('Q1602605', ['unincorporated community in the United States'], ['unincorporated community in Livingston County, Michigan, United States of America']), ('Q1602613', ['film'], ['2005 film by Tanit Jitnukul']), ('Q1602619', ['village', 'urban area in Norway'], ['settlement in Stjørdal Municipality, Norway']), ('Q1756026', ['film'], ['2005 film directed by Danis Tanović']), ('Q2673367', ['buurtschap'], ['hamlet in Putten, Netherlands']), ('Q3129805', ['film'], ['2006 film by Bruno Chiche']), ('Q3798506', ['fictional dimension'], ['fictional location in publications by DC Comics']), ('Q4040528', ['single'], ['single by Disturbed']), ('Q5706453', ['human settlement'], ['locale in Riverside County, California, United States']), ('Q5706488', ['television series episode'], ['episode of Father Ted']), ('Q5706510', ['literary work'], ['1908 novel by Henri Barbusse']), ('Q9287565', ['album'], ['album by Awake']), ('Q11974856', ['album'], ['album']), ('Q13635765', ['album'], ['1974 studio album by James Brown']), ('Q14630987', ['television series episode'], ['episode of Law & Order: Special Victims Unit']), ('Q15223523', ['landform'], ['landform on Grand Cayman in the Cayman Islands']), ('Q16870676', ['family name'], ['family name']), ('Q16944498', ['painting'], ['painting by HIeronymus Bosch']), ('Q18614524', ['comic strip'], ['724th strip of the webcomic xkcd']), ('Q18917087', ['painting'], ['painting by Monsù Desiderio']), ('Q19978160', ['single'], ['single']), ('Q20380276', ['painting'], ['painting by Peter Bonde']), ('Q21257263', ['etching print'], ['artwork by Eduard Wiiralt']), ('Q21716068', ['painting'], ['painting by Unknown artist (?)']), ('Q22075120', ['extended play'], ['extended play by The Pains of Being Pure at Heart']), ('Q27306963', ['painting'], ['painting by Vincent Adriaensz. (I) Malo (Toegeschreven aan)']), ('Q27979123', ['painting'], ['painting by anonymous']), ('Q28866582', ['doctoral thesis'], ['doctoral thesis by Tony J. (Anthony John) Gray']), ('Q30939290', ['painting'], ['Hell , painting by an anonymous Renaissance artist, National Museum of Ancient Art, Lisbon, Portugal']), ('Q48700642', ['musical group'], ['American doom metal solo project']), ('Q48809490', ['album'], ['2017 album']), ('Q65079352', ['musical work/composition'], ['1990 single by Stephen Cummings']), ('Q75404702', ['print'], ['print in the National Gallery of Art (NGA 99674)']), ('Q85766141', ['literary work'], ['1998 novel by Kathryn Davis']), ('Q87347063', ['radio series episode'], ['episode of In Our Time']), ('Q100156284', ['print'], ['print by Max Beckmann (MET, 2002.491a–n)']), ('Q100326681', ['album'], ['album by Die Ärzte']), ('Q108087595', ['protected area'], ['Fenland of national importance in Wattwil, canton of St. Gallen, Switzerland']), ('Q108205120', ['protected area'], ['Dry Grassland/Pasture of National Importance in Sisikon, canton of Uri, Switzerland']), ('Q108205231', ['protected area'], ['Dry Grassland/Pasture of national importance in Liesberg, canton of Basel-Landschaft, Switzerland']), ('Q108806782', ['television series episode'], ['Squid Game, Season 1, Episode 2']), ('Q108908113', ['fictional dimension'], ['mythological location hell as depicted in video game series Doom']), ('Q109465362', ['human'], []), ('Q112193073', ['television series episode'], ['episode of Vikings']), ('Q112225666', ['hell'], ['hell as depicted in the Chainsaw Man manga series']), ('Q113640128', ['video game'], ['2014 video game']), ('Q115783457', ['painting'], ['painting free after Jheronimus Bosch']), ('Q115867292', ['science fiction fanzine'], ['science fiction fanzine']), ('Q121368226', ['painting'], ['painting by Hans Memling']), ('Q121500508', ['painting'], []), ('Q121500658', ['painting'], []), ('Q121500662', ['painting'], []), ('Q121508278', ['triptych'], []), ('Q121547071', ['painting'], []), ('Q121687033', ['painting'], ['painting follower of Jan Mandijn']), ('Q121698899', ['painting'], []), ('Q122223112', ['painting'], ['painting by Jan Brueghel the Elder']), ('Q122934586', ['sculpture'], ['sculpture by Leroy Almon, Sr. (Smithsonian American Art Museum)'])]",hell,Q564,Q108908113,1.2493231296539307,5.895486831665039
3," in Norðurþing municipality on the north of Iceland on the shores of Skjálfandi bay. The income of the inhabitants is derived from tourism and fishing, as well as retail and small ","[('Q49389', ['industry', 'travel'], ['travel for pleasure or business'])]",tourism,Q49389,Q49389,2.0521647930145264,0.015604972839355469
4,"Prosper Garnot (January 13, 1794 – 1838) was a French surgeon and naturalist. Garnot was born at Brest. He was an assistant surgeon under ","[('Q12193', ['commune of France', 'big city'], ['port city in the Finistère department, Brittany, France']), ('Q140147', ['border city', 'big city', 'city of oblast subordinance'], ['city of Belarus, capital of Brest Region']), ('Q501675', ['non-urban municipality in Germany'], ['municipality in Germany']), ('Q1083848', ['village of Bulgaria'], ['village in Bulgaria']), ('Q2389632', ['settlement in Croatia'], ['settlement in the Municipality of Lanišće, Istria County, Croatia']), ('Q2459882', ['kmetstvo of Bulgaria', 'village of Bulgaria'], ['village in Pleven Province, Bulgaria']), ('Q2582747', ['human settlement', 'cultural heritage site in Slovenia'], ['place in Ig, Inner Carniola, Slovenia']), ('Q2731844', ['human settlement'], ['village in Serbia']), ('Q2924524', ['musical work/composition'], ['2004 song by Miossec']), ('Q2924530', ['village'], ['village in the municipality of Čučer-Sandevo, North Macedonia']), ('Q2924534', ['village'], ['village in Macedonia']), ('Q16860410', ['family name'], ['family name']), ('Q19196778', ['article'], ['german article in Die Gartenlaube, 1855, no. 26']), ('Q23641880', ['statue'], ['artwork by Jean-Pierre Cortot in Paris, France']), ('Q28230276', ['geographic township of Quebec'], ['human settlement in Blanc-Sablon, Quebec, Canada']), ('Q31228350', ['hill'], ['hill in Serbia']), ('Q31921469', ['rural settlement', 'municipality seat'], ['municipality seat in Germany']), ('Q63519024', ['parish of New South Wales'], ['parish of Beresford County, New South Wales, Australia']), ('Q68035387', ['sports club'], ['sports club']), ('Q112458274', ['human settlement'], ['human settlement in New Brunswick, Canada']), ('Q124646290', ['painting'], ['painting by Alexey Bogolyubov']), ('Q124968600', ['motor ship', 'inland waterway vessel', 'tour boat'], ['ship built in 1978']), ('Q125410236', ['cadastral municipality of Serbia'], ['cadastral municipality of Serbia in the municipality of Merošina'])]",brest,Q12193,Q12193,1.1764469146728516,2.4479129314422607
5," Championship Wrestling, Total Nonstop Action Wrestling, WAR, Ring of Honor, PRIDE Fighting Championships, and various other MMA/pro wrestling promotions. Roster. See: New Japan Pro Wrestling roster. Titles promoted. New Japan ","[('Q4026034', ['professional wrestling promotion'], ['wrestling promotion']), ('Q37732336', ['editorial', 'scholarly article'], ['scientific article published on October 1939'])]",war,Q4026034,Q4026034,0.557981014251709,0.7895941734313965
6," by the Jamestown colonists in the early 17th century for Princess Elizabeth Stuart, the daughter of King James I of England and a sister of the later ","[('Q30970', ['city', 'capital city', 'port settlement'], ['capital of Saint Helena']), ('Q323813', ['unincorporated community in the United States'], ['fort and town established in the Virginia Colony']), ('Q676288', ['city in the United States'], ['city in Cloud County, Kansas, United States']), ('Q957422', ['borough of Pennsylvania'], ['borough in Mercer County, Pennsylvania, United States']), ('Q960889', ['village'], ['village in Moniteau County, Missouri, United States']), ('Q983861', ['city in the United States', 'city in the state of New York'], ['city in Chautauqua County, New York, United States']), ('Q1052658', ['county seat', 'city in the United States'], ['city in Stutsman County, North Dakota, United States']), ('Q1378580', ['New England town'], ['town in Rhode Island, United States']), ('Q1681359', ['city in the United States'], ['city in Fentress County, Tennessee, United States']), ('Q1874181', ['town in the United States'], ['town in Colorado, USA']), ('Q1959208', ['village'], ['town in Ohio, USA']), ('Q1976579', ['county seat', 'city in the United States'], ['city in and county seat of Russell County, Kentucky, United States']), ('Q2026580', ['town in the United States'], ['town in Guilford County, North Carolina, United States']), ('Q2218008', ['civil town of Wisconsin'], ['town in Wisconsin, United States']), ('Q2240713', ['human settlement'], ['human settlement in Highland, Scotland, UK']), ('Q2407123', ['town in the United States'], ['town in Boone and Hendricks counties, Indiana, United States']), ('Q2651966', ['census-designated place in the United States'], ['census-designated place in Tuolumne County, California, United States']), ('Q2663411', ['village'], ['village in Bienville Parish, Louisiana, United States']), ('Q2710784', ['unincorporated community in the United States'], ['town in Oklahoma, USA']), ('Q3240120', ['town in the United States'], ['town in South Carolina, USA']), ('Q3806782', ['town', 'locality'], ['town in South Australia']), ('Q5925910', ['census-designated place in the United States'], ['unincorporated community and census-designated place in Clallam County, Washington, United States']), ('Q6146154', ['unincorporated community in the United States'], ['unincorporated community in Elkhart County, Indiana']), ('Q6146155', ['village'], ['village in Fife, Scotland, UK']), ('Q6146157', ['human settlement'], ['human settlement in Newfoundland and Labrador, Canada']), ('Q6146159', ['human settlement'], ['human settlement in Ontario, Canada']), ('Q6146166', ['unincorporated community in the United States'], ['unincorporated community in Jefferson County, West Virginia']), ('Q6146177', ['old town', 'historic site'], ['old town of Accra']), ('Q6146179', ['constituency of the Parliament of Ireland'], ['constituency represented in the Irish House of Commons until 1800']), ('Q14687654', ['unincorporated community in the United States'], ['human settlement in Illinois, United States of America']), ('Q14705996', ['unincorporated community in the United States'], ['unincorporated community in McKinley County, New Mexico']), ('Q15059302', ['village'], ['village in West Dunbartonshire, Scotland, UK']), ('Q16849479', ['horse'], ['American Champion Thoroughbred racehorse']), ('Q22076504', ['unincorporated community in the United States'], ['human settlement in Smith County, Texas, United States of America']), ('Q25183953', ['television series'], ['television series UK']), ('Q29174466', ['locality'], ['locality in Otago Region, New Zealand']), ('Q56884233', ['film'], ['1923 film directed by Edwin L. Hollywood']), ('Q59720412', ['district electoral division'], ['electoral district in County Laois, Ireland']), ('Q59722423', ['district electoral division'], ['electoral district in County Westmeath, Ireland']), ('Q60769575', ['human settlement'], ['town in Georgia, United States']), ('Q61042472', ['weather station'], [""Meteorological Service of Canada's station for Jamestown (MSC ID: 6143905), Ontario, Canada""]), ('Q77505961', ['painting'], ['painting by Beverly Buchanan']), ('Q98582077', ['fictional moon base'], ['fictional moon base']), ('Q104261608', ['townland'], ['townland in Clondalkin, County Dublin, Ireland']), ('Q104262154', ['townland'], ['townland in Swords, County Dublin, Ireland']), ('Q104262207', ['townland'], ['townland in Glencullen, County Dublin, Ireland']), ('Q104265146', ['townland'], ['townland in Templeorum, County Kilkenny, Ireland']), ('Q104266386', ['townland'], ['townland in Shanbogh, County Kilkenny, Ireland']), ('Q104268879', ['townland'], ['townland in Rathmore, County Meath, Ireland']), ('Q104270653', ['townland'], ['townland in Ratoath, County Meath, Ireland']), ('Q104274754', ['townland'], ['townland in Jamestown, County Westmeath, Ireland']), ('Q104275294', ['townland'], ['townland in The Leap, County Wexford, Ireland']), ('Q104275963', ['townland'], ['townland in Churchtown, County Westmeath, Ireland']), ('Q104277586', ['townland'], ['townland in Edermine, County Wexford, Ireland']), ('Q104313242', ['townland'], ['townland in Ballymacshaneboy, County Limerick, Ireland']), ('Q104314164', ['townland'], ['townland in Inishlounaght, County Tipperary, Ireland']), ('Q104317578', ['townland'], ['townland in Mullinahone, County Tipperary, Ireland']), ('Q104326463', ['townland'], ['townland in Carrick on Shannon, County Leitrim, Ireland']), ('Q104338198', ['townland'], ['townland in Taghboy, County Roscommon, Ireland']), ('Q108371061', ['video game series'], ['video game series']), ('Q111386731', ['port'], ['port, Saint Helena, Ascension and Tristan da Cunha']), ('Q112670014', ['railway station'], ['former train station in North Dakota, United States']), ('Q116697353', ['oil-fired power station', 'gas turbine power station'], ['power station with capacity >1MW in Stutsman County, North Dakota'])]",jamestown,Q323813,Q983861,0.8044731616973877,7.0077221393585205
7," a cover of Fleetwood Mac's ""Landslide"", which was their biggest pop crossover hit until 2007, when ""Not Ready to Make Nice"" peaked at #4 on the Billboard ","[('Q3392431', ['musical work/composition'], ['original song written and composed by Stevie Nicks; recorded by Fleetwood Mac']), ('Q3518559', ['television film'], ['2005 television film']), ('Q5969910', ['television series episode'], ['episode of Heroes (S1 E22)']), ('Q6485188', ['board game'], ['board game']), ('Q6485190', ['human'], ['British musician']), ('Q6485191', ['literary work'], ['novel by Desmond Bagley']), ('Q16995887', ['film'], ['1937 film by Donovan Pedelty']), ('Q17017042', ['single'], ['song by Olivia Newton-John']), ('Q17019060', ['film'], ['1940 Hungarian drama film directed by Arzén von Cserépy']), ('Q19893654', ['single'], ['2002 single by Dixie Chicks']), ('Q23999811', ['film'], ['1992 film by Jean-Claude Lord']), ('Q49096333', ['album'], ['album']), ('Q60786786', ['album'], ['1980 studio album by Dexter Gordon']), ('Q69525816', ['single'], ['Glee Cast version featuring Gwyneth Paltrow']), ('Q88948966', ['single'], ['2018 single by Dagny']), ('Q108030225', ['literary work'], ['2021 book by Michael Wolff']), ('Q110888771', ['literary work'], ['literary work by Susan Conley']), ('Q114484644', ['television series episode'], ['episode of Code Black (S2 E5)']), ('Q114534425', ['television series episode'], ['episode of Wynonna Earp (S1 E11)']), ('Q124538401', ['music track with vocals'], ['vocal track by Fleetwood Mac; 1975 studio recording']), ('Q124538623', ['music track with vocals'], ['vocal track by The Smashing Pumpkins; 1993 studio recording; cover version']), ('Q124538636', ['music track with vocals'], ['vocal track by Dixie Chicks; 2002 studio recording; cover version']), ('Q125396089', ['musical work/composition'], ['song by Beirut']), ('Q125396090', ['music track with vocals'], ['track on Gallipoli by Beirut'])]",landslide,Q19893654,Q124538623,0.9719247817993164,2.352276086807251
8,"programming language created by Gregor N. Purdy. It is similar to C++, but makes several large deviations, in some ways making it closer to Perl. Jako can be compiled into ","[('Q9143', ['computer science term', 'computer language'], ['language for communicating instructions to a machine'])]",programming language,Q9143,Q9143,0.6665418148040771,0.01113438606262207
9," (Lyrica). venlafaxine (Effexor, Effexor XR). propranolol (Inderal). Imipramine (Tofranil) is a tricyclic antidepressant (TCA). TCAs are thought to act on serotonin, norepinephrine, and dopamine in the brain. Venlafaxine ","[('Q170304', ['type of chemical entity', 'catecholamine', 'type of chemical entity', 'phenethylamine alkaloid'], ['organic chemical that functions both as a hormone and a neurotransmitter'])]",dopamine,Q170304,Q170304,0.9624109268188477,0.014847993850708008
10," (filmed at the Big Foot Tavern on North Division in Spokane), where she performs the songs ""Crazy for You"" and ""Gambler"". Plot. In this coming-of-age story, Louden Swain (Modine) ","[('Q1460837', ['musical work/composition'], ['original film song written, composed, and recorded by Madonna; from the 1985 movie ""Vision Quest""']), ('Q1982450', ['comics character'], ['DC Comics']), ('Q3757938', ['album'], ['1997 album by  Eric Woolfson']), ('Q5519676', ['film'], ['1971 film']), ('Q5519677', ['album'], ['1997 music album by Eric Woolfson']), ('Q11699332', ['magazine', 'periodical'], ['Polish monthly video game magazine']), ('Q20494563', ['film'], ['2006 film directed by Phie Ambo']), ('Q20728754', ['film'], ['2006 film by Phie Ambo']), ('Q25217159', ['board game'], ['board game originally made by Parker Brothers in 1975']), ('Q37553133', ['family name'], ['family name']), ('Q43416850', ['album'], ['album by Aphasia']), ('Q79312449', ['painting'], ['painting by Olaf Carl Seltzer']), ('Q102425952', ['music track with vocals'], ['vocal track by Madonna; 1985 original soundtrack recording']), ('Q102426183', ['single'], ['1985 soundtrack single by Madonna']), ('Q115666640', ['human settlement'], ['human settlement in Manitoba, Canada']), ('Q122829036', ['single', 'musical work/composition'], ['2021 single of Monsta X'])]",gambler,Q1460837,Q102426183,0.9752719402313232,1.9316861629486084
